var,pais,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021
gdppc,PAN,13410.4,14103.5,14358,14457,14249.2,14283.5,14600.3,15399.6,16198.7,17260.8,19004.2,20509.9,20407.1,21231.8,23240.4,25084.1,26375.4,27268.9,28381.5,29332.6,30511,31147.8,31638,25597,28266.8
gdppc,PER,6707.2,6571,6563.3,6637.7,6581.7,6843.9,7033.1,7286.1,7646.4,8122.5,8712.1,9399.9,9396.9,10065.9,10582.2,11105.9,11625,11771,12022.1,12363.6,12540.7,12903.2,12783.1,11263.8,12271.8
gdppc,PRY,9468.9,9285.8,8975.8,8592.7,8362,8208.4,8411.4,8601.1,8635.8,8900.7,9230.4,9672.8,9495.9,10386,10665.4,10429.6,11125.8,11542.8,11710.8,12034.7,12433.8,12651.4,12424.9,12184.4,12558.9
gdppc,SLV,6354.5,6465.1,6551.8,6577.1,6591,6655.5,6723.7,6750,6900.4,7167.8,7269.6,7392.8,7208.2,7328.7,7575.6,7754.7,7892.5,7990.5,8143.2,8309.4,8454.1,8614,8795.5,8057,8740.5
gdppc,URY,14477,14977.4,14430.9,14117.3,13619.3,12677.2,13004.4,13595.5,14473.3,15041.2,16021.4,17149.3,17797.5,19081.1,19972.5,20595.6,21465,22073.4,22069.8,22357.8,22637.3,22662.6,22660.8,21258.5,21842.6
gdppc,VEN,17681.5,17385.8,16027.2,16072.1,16343.8,14654.6,13301.8,15485.9,16817.6,18193.6,19485.4,20205.7,19268.3,18702.9,19201.5,19990.8,19973,18928.3,17510.9,14482.7,12321.9,10431.5,7045.3,4908.1,4724.3
pop,ARG,35657,36063,36467,36871,37276,37682,38088,38492,38893,39290,39684,40080,40483,40896,41320,41755,42196,42638,43075,43508,43937,44361,44781,45196,45606
pop,BOL,7937,8097,8257,8418,8580,8743,8906,9069,9232,9395,9558,9721,9885,10049,10213,10378,10542,10707,10870,11032,11193,11353,11513,11673,11833
pop,BRA,167209,169785,172319,174790,177196,179538,181809,184006,186127,188167,190130,192030,193887,195714,197515,199287,201036,202764,204472,206163,207834,209469,211050,212559,213993
pop,CHL,14786,14978,15163,15342,15516,15684,15850,16015,16183,16355,16530,16708,16886,17063,17234,17400,17572,17759,17969,18209,18470,18729,18952,19116,19212
pop,COL,37724,38364,38999,39630,40256,40875,41484,42076,42648,43201,43738,44255,44750,45223,45663,46076,46495,46968,47521,48175,48910,49661,50339,50883,51266
pop,CRI,3719,3804,3885,3962,4034,4101,4164,4225,4286,4345,4405,4463,4521,4577,4633,4688,4742,4795,4848,4899,4950,4999,5048,5094,5139
pop,DOM,8084,8214,8343,8471,8599,8725,8850,8974,9097,9219,9339,9458,9577,9695,9813,9931,10048,10165,10282,10398,10513,10627,10739,10848,10954
pop,ECU,11951,12198,12442,12681,12915,13143,13370,13596,13826,14059,14297,14536,14774,15011,15244,15474,15707,15952,16212,16491,16785,17084,17374,17643,17888
pop,GTM,10888,11134,11387,11651,11925,12209,12500,12797,13096,13397,13700,14006,14316,14630,14949,15271,15596,15923,16252,16583,16915,17248,17581,17916,18250
pop,HND,6046,6220,6397,6575,6752,6929,7106,7283,7459,7634,7809,7981,8151,8317,8481,8641,8799,8956,9113,9271,9429,9588,9746,9905,10063
pop,MEX,94611,96056,97485,98900,100298,101685,103081,104515,106005,107560,109171,110815,112464,114093,115695,117274,118827,120355,121858,123333,124777,126191,127576,128933,130262
pop,NIC,4828,4911,4991,5069,5145,5219,5292,5365,5439,5514,5590,5667,5746,5824,5903,5983,6062,6143,6223,6304,6385,6466,6546,6625,6702
pop,PAN,2854,2912,2971,3030,3090,3149,3209,3269,3330,3392,3454,3516,3579,3643,3706,3771,3835,3901,3968,4037,4107,4177,4246,4315,4382
pop,PER,25211,25658,26078,26460,26799,27101,27372,27624,27866,28102,28333,28562,28793,29028,29264,29507,29774,30090,30471,30926,31444,31989,32510,32972,33359
pop,PRY,4998,5108,5216,5323,5428,5532,5633,5731,5824,5913,5998,6081,6164,6248,6334,6422,6510,6600,6689,6778,6867,6956,7045,7133,7220
pop,SLV,5746,5798,5845,5888,5927,5962,5994,6024,6052,6079,6106,6132,6158,6184,6211,6238,6266,6295,6325,6356,6388,6421,6454,6486,6519
pop,URY,3270,3291,3308,3320,3325,3326,3324,3321,3322,3325,3332,3340,3350,3359,3369,3379,3389,3400,3412,3424,3437,3449,3462,3474,3485
pop,VEN,22838,23289,23740,24192,24646,25100,25552,25997,26432,26850,27248,27636,28031,28440,28888,29361,29781,30043,30082,29851,29402,28887,28516,28436,28705
