var,pais,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021
vulner,VEN,40.182,39.643,38.942,41.023,38.726,36.137,32.768,38.246,40.578,44.564,46.025,44.77,45.152,46.031,45.845,42.691,43.163,44.499,45.838,45.224,27.808,8.349,6.0959997,3.843,6.096
vulner,LAC,33.1,32.6,33.1,33.4,33.3,33.8,34.2,35,36,37.3,37.2,37.5,38,38.2,38.2,38.2,38.2,38.9,40,38.8,38.1,36.7,36.1,36.4,36.8
middle,ARG,34.471,34.603,32.936,31.523,30.051,20.006,23.397,28.474,33.373,39.504,46.339,45.619,46.95,47.779,56.595,51.471,54.122,48.789,46.558,44.326,48.148,45.819,42.879,36.049,30.767
middle,BOL,16.571,16.247,15.922,14.095,14.768,14.626,20.023,18.698,17.373,18.673,19.144,21.954,24.323,26.924,29.525,31.761,33.722,33.168,32.437,33.864,33.4,32.776,34.553,31.805,25.4
middle,BRA,22.436,22.227,21.276,21.627,21.978,21.948,21.399,22.36,23.43,25.05,26.478,29.049,30.036,31.54,33.044,35.914,37.348,38.93,36.178,39.138,39.232,40.774,42.298,30.505,27.359
middle,CHL,NA,31.085,31.134,31.183,31.215,31.247,31.279,33.19,35.102,37.014,38.365,39.717,41.068,41.512,41.956,45.393,48.83,48.661,48.492,49.86,51.227,49.737,48.248,46.758,42.522
middle,COL,14.462,14.946,13.548,13.101,10.964,14.994,14.313,14.777,16.312,17.88,19.448,21.016,21.424,23.071,25.29,25.594,28.016,28.591,28.949,27.767,28.327,28.178,28.73,25.23,20.213
middle,CRI,24.754,28.606,26.896,29.919,30.439,29.67,32.653,29.745,31.566,31.707,35.243,36.829,37.808,38.928,40.234,41.803,41.166,42.975,42.25,43.46,43.785,43.765,42.529,35.808,32.082
middle,DOM,26.808,26.765,26.723,26.68,24.323,23.967,18.572,14.88,19.486,22.108,20.431,21.234,21.49,22.818,22.4,19.969,21.25,26.214,28.43,30.914,30.961,35.462,38.049,28.904,22.866
middle,ECU,NA,7.528,8.485,9.442,12.399,13.028,13.656,16.404,17.807,20.094,20.99,21.098,19.279,21.935,24.811,26.085,26.029,27.536,27.946,26.87,28.843,27.385,27.104,20.874,17.239
middle,GTM,NA,18.914,15.683,12.452,14.96,17.469,20.093,12.224,14.373,16.522,14.549,12.577,10.604,8.632,8.411,12.454,11.954,15.306,13.916,13.723,14.306,12.798,13.088,13.166,11.269
middle,HND,11.314,11.434,13.26,12.563,11.866,11.195,11.227,12.174,12.272,12.943,15.05,15.068,16.076,15.199,13.385,11.006,11.225,12.664,12.352,13.469,12.126,12.895,14.413,13.624,9.534
middle,MEX,NA,13.788,15.41,17.031,17.528,18.024,18.542,19.06,19.792,22.092,22.165,22.238,21.647,21.057,21.427,21.798,20.897,19.995,22.613,25.231,25.764,26.296,25.572,24.848,20.654
middle,NIC,NA,6.813,7.659,9.075,10.491,9.946,9.402,8.857,8.313,8.254,8.195,8.136,8.077,8.696,10.026,10.89,10.397,9.904,9.861,9.858,9.79,9.654,7.436,7.404,8.342
middle,PAN,28.774,28.499,29.654,29.246,26.117,27.947,28.606,29.375,29.6,29.305,31.855,33.577,33.693,35.7,34.883,41.253,40.395,44.139,45.855,48.235,48.469,49.394,49.91,49.715,34.649
middle,PER,15.934,14.432,14.161,14.59,12.85,14.999,15.785,14.994,13.323,16.331,21.376,23.519,32.422,35.177,29.052,30.918,31.224,32,31.408,33.287,33.067,33.874,35.05,18.761,13.865
middle,PRY,NA,26.532,23.999,23.691,23.383,17.123,19.675,20.373,24.33,20.915,22.863,24.563,26.964,27.759,30.446,31.604,36.332,37.721,36.577,32.716,33.201,35.678,37.065,34.025,33.741
middle,SLV,14.102,17.004,16.849,17.883,17.407,17.736,17.117,15.389,13.814,13.563,15.411,14.715,13.981,15.048,13.565,14.571,16.578,16.785,16.699,17.821,17.717,20.942,21.696,22.763,17.834
middle,URY,49.627,53.583,53.367,51.427,45.758,40.578,33.283,35.065,37.217,39.864,41.781,46.414,48.871,50.071,55.567,57.931,59.153,61.091,61.41,61.642,63.004,62.242,61.164,57.471,53.879
middle,VEN,18.695,19.343,16.948,15.815,18.835,15.263,10.574,15.318,17.14,25.586,30.711,33.702,34.315,33.259,33.246,37.401,36.165,38.222,31.472,16.773,5.142,3.019,1.9200001,0.821,1.111
middle,LAC,22,20.1,19.6,19.9,19.9,19.4,19.4,20.3,21.6,24,25.8,27.2,28.1,28.9,30.1,31.5,32.3,32.8,31.8,32.6,32.5,33,33.3,26.8,23
rich,ARG,1.844,2.295,1.898,1.982,1.813,1.009,0.855,1.076,1.356,1.711,2.458,2.036,2.165,2.256,3.404,1.904,2.291,1.753,1.976,2.199,2.461,2.048,1.953,1.213,1.029
rich,BOL,1.272,1.029,0.785,1.301,0.976,1.312,2.273,1.675,1.076,1.211,1.153,1.164,0.833,0.89,0.947,0.802,1.495,1.304,0.974,0.912,0.808,0.606,0.757,0.964,0.815
rich,BRA,2.489,2.506,2.343,2.363,2.382,2.455,2.128,2.082,2.352,2.61,2.51,2.844,2.884,2.998,3.113,3.402,3.72,3.84,3.275,3.918,3.88,4.203,4.224,3.509,3.154
rich,CHL,NA,4.059,4.071,4.084,4.029,3.973,3.918,3.998,4.079,4.159,4.389,4.618,4.848,5.314,5.779,6.313,6.847,5.913,4.98,5.388,5.796,5.999,6.203,6.406,5.657
rich,COL,1.17,1.349,1.076,1.015,0.931,1.313,1.112,1.374,1.471,1.615,1.76,1.904,1.925,2.104,2.235,2.139,2.307,2.735,2.126,2.167,2.255,2.22,2.244,2.121,1.742
rich,CRI,0.671,1.156,1.182,1.592,2.153,2.023,1.978,1.709,1.557,1.966,2.935,2.638,4.229,3.361,4.541,4.067,4.257,4.909,4.938,5.2,5.202,4.819,4.9,3.803,3.49
rich,DOM,1.43,1.695,1.959,2.224,1.69,1.6,1.355,0.836,1.247,1.41,1.189,1.11,1.13,0.736,1.13,0.859,1.221,0.828,1.16,1.766,1.236,1.53,1.528,0.771,0.63
rich,ECU,NA,0.344,0.622,0.9,1.02,0.985,0.95,1.367,1.314,1.171,1.634,1.186,0.939,1.136,0.82,0.844,1.249,1.15,1.202,0.997,0.989,1.075,0.979,0.891,0.763
rich,GTM,NA,1.851,1.507,1.163,1.426,1.689,1.03,0.706,0.991,1.276,1.035,0.793,0.552,0.311,0.328,0.479,0.468,0.509,0.366,0.436,0.339,0.367,0.44,0.455,0.396
rich,HND,0.61,0.568,0.53,0.519,0.508,0.769,0.603,0.649,0.934,0.895,0.85,0.837,0.663,0.788,0.833,0.612,0.575,0.406,0.306,0.465,0.338,0.456,0.371,0.381,0.284
rich,MEX,NA,0.875,1.045,1.214,1.342,1.47,1.288,1.106,1.147,1.516,1.484,1.452,1.32,1.188,1.406,1.624,1.573,1.521,1.522,1.523,1.464,1.404,1.272,1.14,0.959
rich,NIC,NA,0.486,0.71,1.039,1.368,1.16,0.952,0.744,0.536,0.498,0.461,0.423,0.386,0.3,0.286,0.371,0.553,0.734,0.732,0.733,0.729,0.753,0.638,0.624,0.651
rich,PAN,3.006,2.921,2.799,3.052,2.306,2.885,3.023,3.203,2.731,2.848,2.946,2.925,2.908,3.091,2.67,3.976,3.777,3.578,3.704,4.345,4.902,5.577,6.347,7.187,5.706
rich,PER,1.109,1.206,1.092,0.54,0.775,1.196,1.581,0.828,0.846,0.796,1.092,1.052,1.697,1.483,1.353,1.18,1.108,1.206,1.152,1.275,1.157,1.297,1.161,0.542,0.406
rich,PRY,NA,2.217,1.96,2.082,2.205,1.152,1.724,1.236,1.334,1.23,1.357,1.529,1.458,1.648,2.256,1.469,2.078,2.301,2.441,1.614,1.994,2.216,1.936,1.367,1.314
rich,SLV,0.634,0.591,0.551,0.631,0.685,0.655,1.004,0.419,0.454,0.711,0.648,0.406,0.531,0.363,0.241,0.288,0.505,0.325,0.436,0.273,0.23,0.301,0.36,0.445,0.355
rich,URY,3.038,4.009,4.139,3.848,3.606,2.661,1.761,1.922,1.836,2.542,3.024,3.248,3.859,3.707,3.899,3.441,3.933,4.346,4.719,4.468,4.85,4.635,4.641,4.219,4.032
rich,VEN,0.699,0.575,0.522,0.329,0.55,0.423,0.198,0.25,0.534,0.789,0.749,0.701,0.794,0.46,0.469,0.948,0.944,0.821,0.596,0.405,0.095,0.417,0.25599998,0.095,0.087
rich,LAC,1.9,1.8,1.7,1.7,1.7,1.8,1.6,1.5,1.7,1.9,2,2,2.1,2.1,2.3,2.3,2.5,2.5,2.2,2.5,2.5,2.6,2.5,2.1,1.9
gini,ARG,0.481,0.502,0.492,0.507,0.524,0.53,0.519,0.491,0.482,0.474,0.46,0.453,0.443,0.437,0.427,0.416,0.414,0.419,0.44,0.46,0.448,0.457,0.466,0.456,0.462
gini,BOL,0.587,0.589,0.59,0.622,0.588,0.602,0.6,0.596,0.592,0.578,0.56,0.519,0.506,0.489,0.471,0.474,0.492,0.492,0.473,0.466,0.46,0.437,0.436,0.464,0.479
gini,BRA,0.597,0.597,0.591,0.591,0.591,0.586,0.579,0.568,0.567,0.562,0.552,0.544,0.541,0.536,0.532,0.526,0.524,0.516,0.516,0.528,0.53,0.536,0.531,0.568,0.575
gini,CHL,NA,0.569,0.572,0.574,0.57,0.565,0.561,0.551,0.54,0.53,0.53,0.531,0.531,0.528,0.524,0.521,0.519,0.499,0.479,0.483,0.487,0.497,0.506,0.516,0.521
gini,COL,0.576,0.579,0.576,0.581,0.576,0.584,0.555,0.578,0.561,0.564,0.567,0.57,0.565,0.56,0.552,0.545,0.546,0.546,0.522,0.525,0.522,0.53,0.535,0.535,0.548
